Manufacturer,UPC,ISIS SKU,Part Name,Category,Bullet Point 1,Bullet Point 2,Bullet Point 3,Bullet Point 4,Bullet Point 5,Description 1,Description 2,Description 3,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Instructions,T_Product Family,T_Cap Type,T_Feed Type,T_Filler Type,T_Inlet Type,T_Type,Capacity,Color,T_Foam/No Foam,Sending Unit,Size,Material,OHM Rating,Length,Width,Depth,T_Make
JAZ,,JAZ100-100-01,Seat,Seats.Racing Seats,Excellent back and lumbar support,Integral headrest allows 325 degrees of vision,Molded in 5/16 inch by 18 threaded inserts,Compatible with 5 point harnesses,Total weight with cover only 13 pounds,Excellent back and lumbar support.  Integral headrest allows 325 degrees of vision.  Molded in 5/16 inch by 18 threaded inserts.  Compatible with 5 point harnesses.  Total weight with cover only 13 pounds.,|,,,,,,,,,,,Pro Stock,,,,,,,,,,,,,,,,
JAZ,,JAZ100-110-01,Seat,Seats.Racing Seats,Designed for smaller cars,Integral headrest allows 325 degrees of vision,Molded in 5/16 inch by 18 threaded inserts,Compatible with 5 point harnesses,Total weight with cover only 12 pounds,Designed for smaller cars.  Integral headrest allows 325 degrees of vision.  Molded in 5/16 inch by 18 threaded inserts.  Compatible with 5 point harnesses.  Total weight with cover only 12 pounds.,|,,,,,,,,,,,Mini Pro,,,,,,,,,,,,,,,,
JAZ,,JAZ100-120-01,Seat,Seats.Racing Seats,Excellent back & lumbar support,Integral headrest allows 325 degrees of vision,Molded in 5/16 inch by 18 threaded inserts,Compatible with 5 point harnesses,Black vinyl cover standard,Excellent back & lumbar support.  Integral headrest allows 325 degrees of vision.  Molded in 5/16 inch by 18 threaded inserts.  Compatible with 5 point harnesses.  Black vinyl cover standard.,|,,,,,,,,,,,Low Back,,,,,,,,,,,,,,,,
JAZ,,JAZ100-140-01,Seat,Seats.Racing Seats,Designed for trucks and larger vehicles,Taller and wider than pro stock seat,Molded in 5/16 inch by 18 threaded inserts,Compatible with 5 point harnesses,Total weight with cover only 12 pounds,Designed for trucks and larger vehicles.  Taller and wider than pro stock seat.  Generous contours and lumbar support.  Lateral support located in rib area.  Molded in 5/16 inch by 18 threaded inserts.  Compatible with 5 point harnesses.  Total weight with cover only 12 pounds.,|,,,,,,,,,,,Pro High Back,,,,,,,,,,,,,,,,
JAZ,,JAZ100-150-01,Seat,Seats.Racing Seats,Designed for road racing and off road racing,Wrap around lateral support in shoulder and thigh area,Molded in 5/16 inch by 18 threaded inserts,Compatible with 5 point harnesses,Total weight with cover only 12 pounds,Designed for road racing and off road racing.  Wrap around lateral support in shoulder and thigh area for high speed cornering.  Molded in 5/16 inch by 18 threaded inserts.  Compatible with 5 point harnesses.  Total weight with cover only 12 pounds.,|,,,,,,,,,,,Turbo Pro,,,,,,,,,,,,,,,,
JAZ,,JAZ120-300-03,Seat,Seats.Racing Seats,Aluminum extrusion welded to perimeter,Extra wide shoulder harness slot,Fully Tig welded inside and out,.100 inch 5052 grade aluminum,Proper kick up in seat bottom,Aluminum extrusion welded to perimeter.  Extra wide shoulder harness slot.  Fully Tig welded inside and out.  .100 inch 5052 grade aluminum.  Proper kick up in seat bottom.,|,,,,,,,,,,,Drag Aluminum,,,,,,,,,,,,,,,,
JAZ,,JAZ120-350-03,Seat,Seats.Racing Seats,Cross break in seat back for more comfort,Aluminum extrusion welded to perimeter,Fully Tig welded inside and out,.100 inch 5052 grade aluminum,Proper kick up in seat bottom,Cross break in seat back for more comfort.  Aluminum extrusion welded to perimeter.  Extra wide shoulder harness slot.  Fully Tig welded inside and out.  .100 inch 5052 grade aluminum.  Proper kick up in seat bottom.  Available in straight or 20 degree lay back design.,|,,,,,,,,,,,Sportsman Double Wrap Aluminum,,,,,,,,,,,,,,,,
JAZ,,JAZ120-390-03,"Seat, Layback",Seats.Racing Seats,Cross break in seat back for more comfort,Aluminum extrusion welded to perimeter,Fully Tig welded inside and out,.100 inch 5052 grade aluminum,Proper kick up in seat bottom,Cross break in seat back for more comfort.  Aluminum extrusion welded to perimeter.  Extra wide shoulder harness slot.  Fully Tig welded inside and out.  .100 inch 5052 grade aluminum.  Proper kick up in seat bottom.  Available in straight or 20 degree lay back design.,|,,,,,,,,,,,Sportsman Double Wrap Aluminum,,,,,,,,,,,,,,,,
JAZ,,JAZ120-450-03,Seat,Seats.Racing Seats,Cross break in seat back for more comfort,Aluminum extrusion welded to perimeter,Double welded panels in key areas,.100 inch 5052 grade aluminum,Proper kick up in seat bottom,Cross break in seat back for more comfort.  Aluminum extrusion welded to perimeter.  Extra wide shoulder harness slot.  Double welded panels in key areas.  .100 inch 5052 grade aluminum.  Fully Tig welded inside and out.  Proper kick up in seat bottom.  Available in straight or 20 degree lay back design.  Lightening holes to reduce weight.,|,,,,,,,,,,,Pro Double Wrap Aluminum,,,,,,,,,,,,,,,,
JAZ,,JAZ120-490-03,"Seat, Layback",Seats.Racing Seats,Cross break in seat back for more comfort,Aluminum extrusion welded to perimeter,Double welded panels in key areas,.100 inch 5052 grade aluminum,Proper kick up in seat bottom,Cross break in seat back for more comfort.  Aluminum extrusion welded to perimeter.  Extra wide shoulder harness slot.  Double welded panels in key areas.  .100 inch 5052 grade aluminum.  Fully Tig welded inside and out.  Proper kick up in seat bottom.  Available in straight or 20 degree lay back design.  Lightening holes to reduce weight.,|,,,,,,,,,,,Pro Double Wrap Aluminum,,,,,,,,,,,,,,,,
JAZ,,JAZ150-101-01,Seat Cover,Seats.Seat Covers,Vinyl cover,Fits pro stock,|,,,Pro stock vinyl cover,|,,15010101.jpg,,,,,,,,,Pro Stock,,,,,,,,,,,Vinyl,,,,,
JAZ,,JAZ150-111-01,Seat Cover,Seats.Seat Covers,Vinyl cover,Fits mini pro,|,,,Mini pro vinyl cover,|,,,,,,,,,,,Mini Pro,,,,,,,,,,,Vinyl,,,,,
JAZ,,JAZ150-112-01,Seat Cover,Seats.Seat Covers,Velour insert cover,Fits mini pro,|,,,Mini pro velour insert cover,|,,,,,,,,,,,Mini Pro,,,,,,,,,,,Velour,,,,,
JAZ,,JAZ150-121-01,Seat Cover,Seats.Seat Covers,Vinyl cover,Fits low back,|,,,Low back vinyl cover,|,,15012101.jpg,,,,,,,,,Low Back,,,,,,,,,,,Vinyl,,,,,
JAZ,,JAZ150-141-01,Seat Cover,Seats.Seat Covers,Vinyl cover,Fits pro high back,|,,,Pro high back vinyl cover,|,,15014101.jpg,,,,,,,,,Pro High Back,,,,,,,,,,,Vinyl,,,,,
JAZ,,JAZ150-151-01,Seat Cover,Seats.Seat Covers,Vinyl cover,Fits turbo pro,|,,,Turbo pro vinyl cover,|,,15015101.jpg,,,,,,,,,Turbo Pro,,,,,,,,,,,Vinyl,,,,,
JAZ,,JAZ150-301-01,Seat Cover,Seats.Seat Covers,Vinyl cover,Fits drag,|,,,Drag vinyl cover,|,,15030101.jpg,,,,,,,,,Drag,,,,,,,,,,,Vinyl,,,,,
JAZ,,JAZ150-391-01,Seat Cover,Seats.Seat Covers,Double wrap vinyl cover,Fits sportsman,|,,,Sportsman double wrap vinyl cover,|,,15039101.jpg,,,,,,,,,Sportsman Double Wrap,,,,,,,,,,,Vinyl,,,,,
